School Type,School No,School Name,Dropped/Retained,Academic Year,SSF Date,Offering,School Revenue Type,SSF Number,Status,Total Order Value (Exclusive GST),Total Order Value (Inclusive GST),ASSET Revenue,ASSETStudents,ASSET rate,CARES Revenue,CARESStudents,CARES rate,Mindspark Revenue,MindsparkStudents,Mindspark rate,Teacher Training Revenue,Payment Mode,No Of Installments,Full Payment Date,First Installment Date,First Installment Amount,Second Installment Date,Second Installment Amount,Third Installment Date,Third Installment Amount,Fourth Installment Date,Fourth Installment Amount,TDS Amount,First payment Date,Latest payment Date,To be invoiced till date,Amount Received,Due till date as per payment schedule,Total Discount %,Standard Discount %,Pre Payment Discount %,Volume Discount %,Bundle Discount %,Loyalty Discount %,ASSETRound,Ei ASSET Mode,CAREStestpack,Ei CARES Version,Ei CARES Mode Of Printing,Ei CARES Mode,Ei Mindspark Mode,Board,City,State,Division,Zone,Vertical,Program Start Date,Program End Date,Order Type,ID,Zoho CRM Account ID,Deal ID,Created Date,Added User,Modified User,SSF Creator Email,SSF Creator,CRM Account Owner,CRM Acad Consultant,Logistic Approved Date,SSF Signing Perosn Name,SSF Signing Perosn Designation,SSF Signing Perosn Mail ID,SSF Signing Perosn Phone No,School CRM Email,Principal Name,Principal Email,Principal Phone No,Coordinator Name,Coordinator Email,Coordinator Phone No,School Fees,Billing Address Line 1,Billing Address Line 2,Billing Postal Code,Shipping Address Line 1,Shipping City,Shipping State,Shipping Postal Code,TAN NO,CRM Billing Street,CRM Shipping Street
New School,4156961,Disha India Community School,,2024,2025-04-25 00:00:00,Ei ASSET,Regular,IN-2022003382,Approved By Logistic Team,0,0,0,41,0,0,0,,0,0,,0,Full Payment,,2024-11-30 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,0,0,0,1,1,,,,,Winter Round,OMR,0,MCQ,,,,CBSE,Karnal,Haryana,North,Delhi/Haryana,National Sales,2024-04-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000029556176,51788000009286330,zcrm_51788000288170220,2025-04-25 00:00:00,anushka.gupta_ei,mitul.patel_ei1,anushka.gupta@ei.study,Anushka gupta,Anushka Gupta,,2025-04-25 12:27:07,Mr. Maruf Shaikh,Other,maruf.shaikh@ei.study,+919016039311,psr@dishaindiaeducation.org,Mr. Maruf Shaikh,maruf.shaikh@ei.study,+919016039311,Mr. Maruf Shaikh,maruf.shaikh@ei.study,+919016039311,16000,Village Padha,,132036,Village Padha,Karnal,Haryana,132036,,Village Padha,Village Padha
New School,4157259,St.George School,Dropped,2024,2023-11-05 00:00:00,Ei CARES,Regular,IN-2022001242,Approved By Logistic Team,388752,388752,0,0,,388752,240,1620,0,0,,0,Full Payment,,2024-02-29 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2023-11-23 00:00:00,2024-12-20 00:00:00,388752,359596,29156,0.377,0.377,,,,,0,,4,MCQ + Subjective,Printing By School,OMR,,State Board,Shillong,Meghalaya,East,North East,National Sales,2024-02-15 00:00:00,2024-12-15 00:00:00,Regular School: Active school with student count and rate per student defined,22028000019828872,51788000009286332,zcrm_51788000257453390,2023-11-05 00:00:00,anita.kamath,sourabh.mehta_eiindia,anita.kamath@ei.study,Anita kamath,Sunny Brahma,Pooja Kapoor,2023-11-20 11:53:53,Mr. Simon Joseph Kunnappillil,,joseph196805@gmail.com,+919436994898,stgeorgeshillong@gmail.com,Simon Joseph,joseph196805@gmail.com,+919436994898,Gilbert Rynjah,joseph196805@gmail.com,+919774065455,33500,"Nongmynsong, Shillong",,793019,"Nongmynsong, Shillong",Shillong,Meghalaya,793019,,"Nongmynsong, Shillong","Nongmynsong, Shillong"
Key Account,416343,"Reliance Foundation School, Lodhivali",,2024,2024-10-11 00:00:00,Ei ASSET,Regular,IN-2022002515,Approved By Logistic Team,294000,294000,294000,392,750,0,0,,0,0,,0,Installments,2,,2024-10-11 00:00:00,88200,2024-12-15 00:00:00,205800,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,20625,2024-10-22 00:00:00,2025-03-21 00:00:00,294000,264600,8775,0.5,0.5,,,,,Winter Round,OMR,0,MCQ,,,,CBSE,Raigad,Maharashtra,West,Rest of Maharashtra and Goa,National Sales,2024-06-01 00:00:00,2025-05-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000025420228,51788000002736303,zcrm_51788000274976033,2024-10-11 00:00:00,hetal.parmar_ei,hakim.kanchwala_eiindia1,hetal.parmar@ei.study,Hetal parmar,Manjeetsingh Ladhad,,2024-10-12 10:33:39,Ms. Pooja Joshi,,pooja.joshi@ei.study,+919737756790,jhasadmin@bsnl.in,Dhirendra Harbola,dhirendra.harbola@rfs.edu.in,+919106652328,Rama Dighe,rama.dighe@rfs.edu.in,+919975576646,0,"Ril Township, Mumbai-Pune Highway, P O Lodhivali, Tal Khalapur, Dist. Raigad",,410206,"Ril Township, Mumbai-Pune Highway, P O Lodhivali, Tal Khalapur, Dist. Raigad",Raigad,Maharashtra,410206,PNEJ12191E,"Ril Township, Mumbai-Pune Highway, P O Lodhivali, Tal Khalapur, Dist. Raigad","Ril Township, Mumbai-Pune Highway, P O Lodhivali, Tal Khalapur, Dist. Raigad"
New School,4165,Bala Vidya Mandir Senior Secondary School,Dropped,2024,2024-07-29 00:00:00,Ei ASSET,Regular,IN-2022002384,Approved By Logistic Team,206150,206150,206150,217,950,0,0,,0,0,,0,Full Payment,,2024-08-30 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-10-22 00:00:00,2024-10-22 00:00:00,206150,154850,51300,0.5,0.5,,,,,Winter Round,OMR,0,MCQ,,,,CBSE,Chennai,Tamil Nadu,South,Tamil Nadu,National Sales,2024-06-01 00:00:00,2025-05-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000023796844,51788000002728431,zcrm_51788000272055330,2024-07-29 00:00:00,sriram.subramaniam_ei,hakim.kanchwala_eiindia1,sriram.subramaniam@ei.study,Sriram subramaniam,Sriram Subramaniam,,2024-09-09 11:43:03,Daphne Ms,Principal,infobvmadyar@gmail.com,+917358028750,infobalavidyamandir@gmail.com,,,,,,,70000,"No. 58, Iv Main Road, Gandhinagar, Adyar,",,600020,"No. 58, Iv Main Road, Gandhinagar, Adyar,",Chennai,Tamil Nadu,600020,,"No. 58, Iv Main Road, Gandhinagar, Adyar,","No. 58, Iv Main Road, Gandhinagar, Adyar,"
1-year School,4166956,Delhi World Public School,,2024,2024-06-26 00:00:00,Ei Mindspark,Regular,IN-2022002278,Approved By Logistic Team,286031,337517,0,0,,0,0,,286031,125,2288,0,Full Payment,,2024-03-31 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,28603,2024-06-21 00:00:00,2024-06-21 00:00:00,337517,308913,1,0.6,0.5,0.1,,,,0,,0,MCQ,,,Online,CBSE,Barasat,West Bengal,East,West Bengal,National Sales,2024-06-27 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000023173452,51788000025390756,zcrm_51788000271104622,2024-06-26 00:00:00,mayukh.chowdhury_ei1,maruf.shaikh1,mayukh.chowdhury@ei.study,Mayukh chowdhury,Mayukh Chowdhury,,2024-06-26 19:07:34,Shraddha Agarwal,Principal,maruf.shaikh@ei.study,,info@dwpsbarasat.com,Shradha Agarwal,principal@dwpsbarasat.com,,,,,48000,"Madhupur, Holding number 10504, Vill: Kadambagachhi, ?Mouza Daspuldanga, P. O. Badu, P. S. Duttapukur, District 24 Parganas (N), Pin Code - 700 128",,700128,"Madhupur, Holding number 10504, Vill: Kadambagachhi, ?Mouza Daspuldanga, P. O. Badu, P. S. Duttapukur, District 24 Parganas (N), Pin Code - 700 128",Barasat,West Bengal,700128,,"Madhupur, Holding number 10504, Vill: Kadambagachhi, ?Mouza Daspuldanga, P. O. Badu, P. S. Duttapukur, District 24 Parganas (N), Pin Code - 700 128","Madhupur, Holding number 10504, Vill: Kadambagachhi, ?Mouza Daspuldanga, P. O. Badu, P. S. Duttapukur, District 24 Parganas (N), Pin Code - 700 128"
Retention School,416793,Sanskriti The Gurukul,,2024,2024-03-19 00:00:00,Ei ASSET,Regular,IN-2022001694,Approved By Logistic Team,1164998,1164998,1164998,949,1228,0,0,,0,0,,0,Full Payment,,2024-03-31 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,19914,2024-04-08 00:00:00,2024-04-08 00:00:00,1164998,975767,169317,0.447,0.34700000000000003,0.1,,,,Summer Round,OMR,0,MCQ,,,,CISCE,Guwahati,Assam,East,North East,National Sales,2024-04-05 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000021629056,51788000002736307,zcrm_51788000267074068,2024-03-19 00:00:00,ratnabali.mukherjee_eiindia,sourabh.mehta_eiindia,ratnabali.mukherjee@ei.study,Ratnabali mukherjee,Pooja Kapoor,,2024-04-02 17:59:30,Mr. Ashutosh Aggarwal,,ashutosh.aggarwal@sanskritithegurukul.in,+919864028962,ashutosh.aggarwal@sanskritithegurukul.in,Radha Baruah,radha.baruah@sanskritithegurukul.in,+919678074959,Gargi das,gargi.das@sanskritithegurukul.in,+919707786178,0,"Gugh,Ahomgaon,NH-37,Opposite ISBT",,781035,"Gugh,Ahomgaon,NH-37,Opposite ISBT",Guwahati,Assam,781035,,"Gugh,Ahomgaon,NH-37,Opposite ISBT","Gugh,Ahomgaon,NH-37,Opposite ISBT"
Retention School,420525,Greenwood High (An International School),,2024,2024-04-18 00:00:00,"Ei ASSET, Ei Mindspark",Regular,"IN-2022001932, IN-2022001933",Approved By Logistic Team,4790037,5479442,960012,1873,513,0,0,,3830025,2176,1760,0,Installments,"2, 3",,2024-07-31 00:00:00,"288004, 451943","2024-08-31 00:00:00, 2024-09-30 00:00:00","1807772, 672008","2000-01-01 00:00:00, 2024-12-31 00:00:00","0, 2259715",2000-01-01 00:00:00,0,"0, 69684","2024-07-26 00:00:00, 2024-09-12 00:00:00","2024-10-03 00:00:00, 2025-02-12 00:00:00","4519430, 960012","4466295, 932202","-16549, 27810","0.42310000000000003, 0.7426999999999999","0.42310000000000003, 0.7426999999999999",,,,,"0, Summer Round",OMR,0,MCQ,,,Online,CISCE,Bengaluru,Karnataka,South,Karnataka/Kerala,National Sales,"2024-05-25 00:00:00, 2024-06-01 00:00:00","2025-03-31 00:00:00, 2025-05-31 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000022139432, 22028000022140268",51788000002736344,"zcrm_51788000268564075, zcrm_51788000268564206",2024-04-18 00:00:00,dipti.jain_ei,sourabh.mehta_eiindia,dipti.jain@ei.study,Dipti jain,Aruna,,"2024-05-10 12:08:38, 2024-05-21 10:13:53",Mr. Louis Lopez,Principal,principal@greenwoodhigh.edu.in,+918146090697,principal@greenwoodhigh.edu.in,Mr. Louis Lopez,principal@greenwoodhigh.edu.in,+918146090697,Madhumita Maity,Madhumitama@greenwoodhigh.edu.in,+919880852902,201000,"No.8-14, Chikkawadayarapura, Near Heggondahalli, Gunjur Post, Sarjapura Road",,560087,"No.8-14, Chikkawadayarapura, Near Heggondahalli, Gunjur Post, Sarjapura Road",Bengaluru,Karnataka,560087,BLRG04831B,"No.8-14, Chikkawadayarapura, Near Heggondahalli, Gunjur Post, Sarjapura Road","No.8-14, Chikkawadayarapura, Near Heggondahalli, Gunjur Post, Sarjapura Road"
Retention School,42625,"St. Kabir Public School, Chandigarh",,2024,2024-04-04 00:00:00,Ei CARES,Regular,"IN-2022001846, IN-2022001847",Approved By Logistic Team,1154099,1154099,0,0,,1154099,915,"1100, 1350",0,0,,0,Installments,4,,2024-05-10 00:00:00,"199137, 89388",2024-07-10 00:00:00,"199137, 89388",2024-10-10 00:00:00,"199137, 89388",2024-12-10 00:00:00,"199137, 89388","0, 5742",2024-10-23 00:00:00,2025-02-14 00:00:00,"357552, 796548","360912.19, 764407.81","-3360, 26398","0.5416, 0.5781000000000001","0.5416, 0.5781000000000001",,,,,0,,4,MCQ,,Online,,CBSE,Chandigarh,Punjab,North,Punjab/Chandigarh,National Sales,2024-04-04 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000021909904, 22028000021909956",51788000002731067,"zcrm_51788000265412025, zcrm_51788000265412205",2024-04-04 00:00:00,virender.verma_ei,fagun.saraiya_eiindia1,virender.verma@ei.study,Virender verma,Bhavishya Bansal,,"2024-04-11 09:42:27, 2024-04-11 09:42:32",Ms. Shallu Pahooja,Other,e0074shallupahooja@stkabir.co.in,+919872044999,contact@stkabir.co.in,,,,,,,0,"Sector 26, Chandigarh, 160019",,160019,"Sector 26, Chandigarh, 160019",Chandigarh,Punjab,160019,PTLK10205G,"Sector 26, Chandigarh, 160019","Sector 26, Chandigarh, 160019"
New School,434619,"Witty International School, Malad (W)",,2024,2025-02-05 00:00:00,Ei ASSET,Regular,4346192024.00,Approved By Logistic Team,278400,278400,278400,0,0,0,0,0,0,0,0,0,,1,2025-02-05 00:00:00,2025-02-05 00:00:00,0,2025-02-05 00:00:00,0,2025-02-05 00:00:00,0,2025-02-05 00:00:00,0,0,2025-02-05 00:00:00,2025-02-05 00:00:00,278400,0,278400,0,0,0,0,0,0,Summer Round,OMR,0,,,,,CBSE,Mumbai,,South,Karnataka - Central,National Sales,2025-02-05 00:00:00,2025-02-05 00:00:00,Regular School: Active school with only revenue defined,4346192024,,,2025-02-05 00:00:00,maruf.shaikh@ei.study,maruf.shaikh@ei.study,maruf.shaikh@ei.study,Maruf shaikh,Aji Thomas,Aji Thomas,2025-02-05 00:00:00,,,,,,,,,,,,0,,,,,,,,,,
New School,437634,Nand Vidya Niketan,,2024,2024-04-20 00:00:00,Ei CARES,Regular,IN-2022001947,Approved By Logistic Team,1000077,1000077,0,0,,1000077,2634,380,0,0,,0,Installments,2,,2024-04-30 00:00:00,600046,2024-07-15 00:00:00,400031,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,96618.6,2024-04-30 00:00:00,2024-09-20 00:00:00,1000077,900000,3458,0.8418000000000001,0.8418000000000001,,,,,0,,4,MCQ,,Online,,CBSE,Jamnagar,Gujarat,West,Gujarat,National Sales,2024-04-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022173280,51788000002736697,zcrm_51788000255123883,2024-04-20 00:00:00,gaurav.muliya_ei,fagun.saraiya_eiindia1,gaurav.muliya@ei.study,Gaurav muliya,Nakul Swamy,,2024-04-20 14:07:01,Mr. Radheshyam Pandey,Other,muliyagaurav@gmail.com,+919099056791,nvn.nvn@redffmail.com,,,,,,,58000,"Dhichda Ring Road, Near Shrinath Petrol Pump",,361009,"Dhichda Ring Road, Near Shrinath Petrol Pump",Jamnagar,Gujarat,361009,RKTV03949B,"Dhichda Ring Road, Near Shrinath Petrol Pump","Dhichda Ring Road, Near Shrinath Petrol Pump"
Retention School,440751,Hollotoli School,,2024,2024-03-18 00:00:00,"Ei CARES, Ei Mindspark",Regular,"IN-2022001687, IN-2022001688",Approved By Logistic Team,930217,1003482,0,0,,523188,233,2245,407029,285,1428,0,Installments,4,,2024-04-10 00:00:00,"120074, 130797",2024-07-10 00:00:00,"120074, 130797",2024-11-11 00:00:00,"120074, 130797",2024-12-31 00:00:00,"120074, 130797","39989, 51421","2024-04-20 00:00:00, 2024-07-05 00:00:00",2025-02-05 00:00:00,"480296, 523188","431880, 462785","8427, 8982","0.5318999999999999, 0.5322","0.5318999999999999, 0.5322",,,,,0,,"0, 6","MCQ, MCQ + Subjective",,Online,Online,CBSE,Dimapur,Nagaland,East,North East,National Sales,2024-04-08 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000021615164, 22028000021615212",51788000002736726,"zcrm_51788000266788073, zcrm_51788000266788210",2024-03-18 00:00:00,ratnabali.mukherjee_eiindia,mitul.patel_ei1,ratnabali.mukherjee@ei.study,Ratnabali mukherjee,Pooja Kapoor,,"2024-03-22 10:20:07, 2024-03-22 13:37:07",Ms. Chubamenla Jamir,Principal,hollotolischool@gmail.com,+918259801363,hollotolischool@gmail.com,Ms. Chubamenla Jamir,hollotolischool@gmail.com,+918259801363,Apunsha,hollotolischool@gmail.com,+917005899910,0,"N.H. 29, Padampukhiri, Purana Bazar",,797116,"N.H. 29, Padampukhiri, Purana Bazar",Dimapur,Nagaland,797116,SHLH01793B,"Padampukhiri, Purana Bazar","N.H. 29, Padampukhiri, Purana Bazar"
Retention School,47745,St. George^s School,,2024,2024-04-04 00:00:00,Ei ASSET,Regular,IN-2022001845,Approved By Logistic Team,1040160,1040160,1040160,1600,650,0,0,,0,0,,0,Installments,2,,2024-04-20 00:00:00,312048,2024-07-05 00:00:00,728112,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-05-13 00:00:00,2024-11-13 00:00:00,1040160,926055,114105,0.5666,0.5666,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,New Delhi,Delhi,North,Delhi/Haryana,National Sales,2024-04-04 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000021909844,51788000002731098,zcrm_51788000267583006,2024-04-04 00:00:00,virender.verma_ei,sourabh.mehta_eiindia,virender.verma@ei.study,Virender verma,Anushka Gupta,,2024-04-13 12:20:46,Ms. Anjali Massey,Principal,stgeorgeschool_alaknanda@yahoo.com,+919999685435,info@sgs.edu.in,Ms. Anjali Massey,stgeorgeschool_alaknanda@yahoo.com,+919999685435,Ms.Preetha,preetha.sajan@sgs.edu.in,+919910168793,0,"Plot No. 70, Alaknanda Don Bosco Rd, Opp. Niligiri Apartment, Alaknanda, New Delhi, Delhi ,New Delhi,Delhi - 110019",,110019,"Plot No. 70, Alaknanda Don Bosco Rd, Opp. Niligiri Apartment, Alaknanda, New Delhi, Delhi ,New Delhi,Delhi - 110019",New Delhi,Delhi,110019,,"Plot No. 70, Alaknanda Don Bosco Rd, Opp. Niligiri Apartment, Alaknanda, New Delhi, Delhi ,New Delhi,Delhi - 110019","Plot No. 70, Alaknanda Don Bosco Rd, Opp. Niligiri Apartment, Alaknanda, New Delhi, Delhi ,New Delhi,Delhi - 110019"
Key Account,48496,Diamond Jubilee High School,Dropped,2024,2024-10-22 00:00:00,Ei ASSET,Regular,IN-2022002534,Approved By Logistic Team,0,0,0,627,0,0,0,,0,0,,0,Full Payment,,2024-10-23 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,0,0,0,1,1,,,,,Winter Round,OMR,0,MCQ,,,,CISCE,Mumbai,Maharashtra,West,Mumbai,National Sales,2024-09-01 00:00:00,2025-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000025622092,51788000002731206,zcrm_51788000274553003,2024-10-22 00:00:00,maruf.shaikh1,maruf.shaikh1,maruf.shaikh@ei.study,Maruf shaikh,Manjeetsingh Ladhad,,2024-10-22 12:56:21,Taskeen Bhore,Principal,taskeen.bhore@akesi.org,+919773181614,nutan.iyer@akesi.org,Taskeen Bhore,taskeen.bhore@akesi.org,+919773181614,Peptina B,taskeen.bhore@akesi.org,+918097952434,0,"39/43 Diamond Complex, Nesbit Road, Mazagaon,",,400010,"39/43 Diamond Complex, Nesbit Road, Mazagaon,",Mumbai,Maharashtra,400010,,"39/43 Diamond Complex, Nesbit Road, Mazagaon,","39/43 Diamond Complex, Nesbit Road, Mazagaon,"
Retention School,4930,GEAR Innovative International School,,2024,"2024-05-25 00:00:00, 2024-05-27 00:00:00, 2024-12-11 00:00:00","Ei ASSET, Ei Mindspark",Regular,"IN-2022002090, IN-2022002098, IN-2022002679",Approved By Logistic Team,1882813,2117582,578541,883,655,0,0,,1304272,780,"0, 1932",0,Full Payment,,"2024-05-31 00:00:00, 2024-06-10 00:00:00, 2024-12-11 00:00:00",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2024-06-01 00:00:00,2024-06-01 00:00:00,"0, 1539041, 578541","0, 1385137, 519935","0, 153904, 58606","0.6368, 0.6546, 1","0.6368, 0.6546, 1",,,,,"0, Summer Round",OMR,0,MCQ,,,Online,CBSE,Bengaluru,Karnataka,South,Karnataka/Kerala,National Sales,2024-06-01 00:00:00,2025-05-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000022640280, 22028000022641696, 22028000026784392",51788000002728437,"zcrm_51788000269925030, zcrm_51788000270086001, zcrm_51788000279441001","2024-05-25 00:00:00, 2024-05-27 00:00:00, 2024-12-11 00:00:00","aruna_ei, nisha.murali_eiindia","mitul.patel_ei1, sourabh.mehta_eiindia","aruna@ei.study, nisha.murali@ei.study","Aruna, Nisha murali",Aruna,,"2024-06-03 10:04:13, 2024-06-03 10:04:32, 2024-12-13 10:19:14","Mr. Maruf Shaikh, Mr. Sarvesh Srinivasan",Other,"maruf.shaikh@ei.study, sarvesh@gear.ac.in",+919448852144,contactus@gear.ac.in,"Mr. Maruf Shaikh, Mrs.Nandini Bhat","maruf.shaikh@ei.study, principal.gurukul@gear.ac.in","+919016039311, +919741255422","Lakshmi Ganesh, Mr. Maruf Shaikh","lakshmi.gn@gear.ac.in, maruf.shaikh@ei.study","+919016039311, +919741255422",0,"No. 175, Gear Road, Off Sarajpur Road & Outer Ring Road, Doddakanelli",,560035,"No. 175, Gear Road, Off Sarajpur Road & Outer Ring Road, Doddakanelli",Bengaluru,Karnataka,560035,,"No. 175, Gear Road, Off Sarajpur Road & Outer Ring Road, Doddakanelli","No. 175, Gear Road, Off Sarajpur Road & Outer Ring Road, Doddakanelli"
New School,5000929,St. Stanislaus International School,Dropped,2024,"2024-05-02 00:00:00, 2024-08-17 00:00:00",Ei Mindspark,Regular,"IN-2022001996, IN-2022002446",Approved By Logistic Team,146422,172778,0,0,,0,0,,146422,53,2763,0,Full Payment,,"2024-04-30 00:00:00, 2024-08-17 00:00:00",2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,"0, 2486","2024-04-30 00:00:00, 2024-09-06 00:00:00","2024-04-30 00:00:00, 2024-09-06 00:00:00","143438, 29340","101446, 26854","0, 41992",0.09449999999999999,0.09449999999999999,,,,,0,,0,MCQ,,,Online,IGSCE,Mumbai,Maharashtra,West,Mumbai,National Sales,2024-04-25 00:00:00,"2025-04-24 00:00:00, 2025-07-31 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000022340028, 22028000024174432",51788000087604795,"zcrm_51788000268664580, zcrm_51788000272997511","2024-05-02 00:00:00, 2024-08-17 00:00:00",manjeetsingh.ladhad,sourabh.mehta_eiindia,manjeetsingh.ladhad@ei.study,Manjeetsingh ladhad,Manjeetsingh Ladhad,Hetal Parmar,"2024-05-03 14:39:19, 2024-08-28 10:56:06","Montwin D'Costa, Mr. Montwin D'Costa",Principal,principal@stanislausinternational.in,+919152424557,igcse@stanislausinternational.in,Mr. Montwin D'Costa,principal@stanislausinternational.in,+919152424557,Ms.Emerlin,emerlin@stanislausinternational.in,+919833109176,74600,"65 Ramdas Nayak Rd.(Hill Road), Bandra,",,400050,"65 Ramdas Nayak Rd.(Hill Road), Bandra,",Mumbai,Maharashtra,400050,,"65 Ramdas Nayak Rd.(Hill Road), Bandra,","65 Ramdas Nayak Rd.(Hill Road), Bandra,"
Retention School,5002504,"Vimukti Girls School, Jaipur",,2024,"2024-06-27 00:00:00, 2025-03-05 00:00:00","Ei ASSET, Ei ASSET,Ei CARES,Ei Mindspark",Regular,"IN-2022002282, IN-2022002974",Approved By Logistic Team,0,0,0,399,0,0,355,0,0,412,0,0,"Full Payment, Installments",4,2024-11-01 00:00:00,"2000-01-01 00:00:00, 2024-07-15 00:00:00",0,"2000-01-01 00:00:00, 2024-09-15 00:00:00",0,"2000-01-01 00:00:00, 2024-11-15 00:00:00",0,"2000-01-01 00:00:00, 2024-12-31 00:00:00",0,0,,,0,0,0,1,1,,,,,Both Rounds,Online,"0, 2",MCQ,,Online,Online,CBSE,Jaipur,Rajasthan,North,Rajasthan,National Sales,"2024-04-01 00:00:00, 2024-06-05 00:00:00","2025-03-31 00:00:00, 2025-05-31 00:00:00",Regular School: Active school with student count and rate per student defined,"22028000023204188, 22028000028489120",51788000139252041,"zcrm_51788000271143164, zcrm_51788000285921028","2024-06-27 00:00:00, 2025-03-05 00:00:00","anshul.nagpal_ei, shruti.chauhan_ei","fagun.saraiya_eiindia1, sourabh.mehta_eiindia","anshul.nagpal@ei.study, shruti.chauhan@ei.study","Anshul nagpal, Shruti chauhan",Tanya Marina Brooks,,"2024-06-27 15:34:09, 2025-03-05 15:25:41","Maruf Shaikh, Navratan Sharma","Admin, Other","maruf.shaikh@ei.study, nav@vimuktisanstha.org","+919016039311, +919571903783",vimukti_school@yahoo.co.in,"Ms. Jyoti Dixit, Navratan Sharma","jyoti@vimuktisanstha.org, nav@vimuktisanstha.org",+919571903783,"Mr. Navrattan Sharma, Navratan Sharma",nav@vimuktisanstha.org,+919571903783,0,"C/o Alpha beta school, Sanganer, Sector - 16, Pratap Nagar",,302033,"Sanganer, Sector - 16, Pratap Nagar",Jaipur,Rajasthan,302033,,"Sanganer, Sector - 16, Pratap Nagar","Sanganer, Sector - 16, Pratap Nagar"
Retention School,5002616,Sri Kumaran Children^s Home CBSE,,2024,2024-05-27 00:00:00,Ei CARES,Regular,IN-2022002112,Approved By Logistic Team,559200,559200,0,0,,559200,466,1200,0,0,,0,Installments,4,,2024-06-15 00:00:00,139800,2024-08-15 00:00:00,139800,2024-10-15 00:00:00,139800,2024-12-15 00:00:00,139800,39930,2024-06-11 00:00:00,2024-11-14 00:00:00,559200,380971,138299,0.25,0.25,,,,,0,,2,MCQ,,Online,,CBSE,Bengaluru,Karnataka,South,Karnataka/Kerala,National Sales,2024-06-01 00:00:00,2025-05-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000022677624,51788000160486249,zcrm_51788000269929072,2024-05-27 00:00:00,vineet.upadhye_ei,hakim.kanchwala_eiindia1,vineet.upadhye@ei.study,Vineet upadhye,Nisha Murali,,2024-06-06 17:14:43,Mrs. Pushkala Parasuraman,Principal,pushkala.parasuraman@kumarans.org,+919880285585,cbse@kumarans.org,Mrs. Pushkala Parasuraman,pushkala.parasuraman@kumarans.org,+919880285585,,,,0,"Survey no.44-50, Malla Sandra Village, Uttarahalli, Hobli, Kanakapura Main Road",,560109,"Survey no.44-50, Malla Sandra Village, Uttarahalli, Hobli, Kanakapura Main Road",Bengaluru,KARNATAKA,560109,BLRS02358G,"Survey no.44-50, Malla Sandra Village, Uttarahalli, Hobli, Kanakapura Main Road","Survey no.44-50, Malla Sandra Village, Uttarahalli, Hobli, Kanakapura Main Road"
