School Type,School No,School Name,Academic Year,SSF Date,Offering,School Revenue Type,SSF Number,Status,,OV-2026,Total Order Value (Exclusive GST),Total Order Value (Inclusive GST),ASSET Revenue,ASSETStudents,ASSET rate,CARES Revenue,CARESStudents,CARES rate,Mindspark Revenue,MindsparkStudents,Mindspark rate,Teacher Training Revenue,Payment Mode,No Of Installments,Full Payment Date,First Installment Date,First Installment Amount,Second Installment Date,Second Installment Amount,Third Installment Date,Third Installment Amount,Fourth Installment Date,Fourth Installment Amount,TDS Amount,First payment Date,Latest payment Date,To be invoiced till date,Amount Received,Due till date as per payment schedule,Total Discount %,Standard Discount %,Pre Payment Discount %,Volume Discount %,Bundle Discount %,Loyalty Discount %,ASSETRound,Ei ASSET Mode,CAREStestpack,Ei CARES Version,Ei CARES Mode Of Printing,Ei CARES Mode,Ei Mindspark Mode,Board,City,State,Division,Zone,Vertical,Program Start Date,Program End Date,Order Type,ID,Zoho CRM Account ID,Deal ID,Created Date,Added User,Modified User,SSF Creator Email,SSF Creator,CRM Account Owner,CRM Acad Consultant,Logistic Approved Date,SSF Signing Perosn Name,SSF Signing Perosn Designation,SSF Signing Perosn Mail ID,SSF Signing Perosn Phone No,School CRM Email,Principal Name,Principal Email,Principal Phone No,Coordinator Name,Coordinator Email,Coordinator Phone No,School Fees,Billing Address Line 1,Billing Address Line 2,Billing Postal Code,Shipping Address Line 1,Shipping City,Shipping State,Shipping Postal Code,TAN NO,CRM Billing Street,CRM Shipping Street
New School,5104349,Trinity Public School,2026,2026-03-02 00:00:00,Ei Mindspark,Regular,IN-2022004459,Approved By Logistic Team,,#N/A,356021,420105,0,0,,0,0,,356021,350,1017,0,Installments,4,,2026-04-01 00:00:00,105026,2026-07-01 00:00:00,105026,2026-10-01 00:00:00,105026,2026-12-31 00:00:00,105026,0,2026-02-27 00:00:00,2026-02-27 00:00:00,0,5000,-5000,0.6666,0.6666,,,,,0,,0,MCQ,,,Online,CBSE,Kolkata,West Bengal,East,West Bengal,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037578840,51788000301632746,zcrm_51788000307521661,2026-03-02 00:00:00,nishu.rani_ei,mitul.patel_ei1,nishu.rani@ei.study,Nishu rani,Nishu Rani,,2026-03-02 11:49:58,Ms. Tahseen Mahmood,Principal,principal@trinitypublicschool.org,+916289679457,info@trinitypublicschool.org,Ms. Tahseen Mahmood,principal@trinitypublicschool.org,+916289679457,Ms. Tahseen Mahmood,principal@trinitypublicschool.org,+916289679457,0,"Dangadighila, Boro Bagan, Rahara, West Bengal-700119",,700119,,Kolkata,West Bengal,700119,,"Dangadighila, Boro Bagan, Rahara, West Bengal-700119","Dangadighila, Boro Bagan, Rahara, West Bengal-700119."
New School,5106830,The Mindcraft School,2026,2026-02-10 00:00:00,"Ei ASSET, Ei Mindspark",Regular,"IN-2022004325, IN-2022004326",Approved By Logistic Team,,#N/A,229509,261911,49500,50,990,0,0,,180009,75,2400,0,Full Payment,,2026-03-15 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2026-03-09 00:00:00,2026-03-09 00:00:00,0,"106200, 24750","-106200, -24750","0.34, 0.528","0.34, 0.528",,,,,Summer Round,OMR,0,MCQ,,,Online,CBSE,Surat,Gujarat,West,Gujarat,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000037111416, 22028000037111448",51788000302379617,zcrm_51788000306294651,2026-02-10 00:00:00,devansh.desai_ei,fagun.saraiya_eiindia1,devansh.desai@ei.study,Devansh desai,Devansh desai,,"2026-03-10 09:50:37, 2026-03-10 09:50:52",Mrs. Nirali Dagli,Principal,"desaidevansh2@gmail.com, info@themindcraftschool.com",+919879058003,info@themindcraftschool.com,"Mrs. Nirali Dagli, Nirali Dagli","desaidevansh2@gmail.com, info@themindcraftschool.com",+919879058003,"Mrs. Nirali Dagli, Nirali Dagli","desaidevansh2@gmail.com, info@themindcraftschool.com",+919879058003,120003,"Patiya Road, Nr. La Season Restaurant & Banquet",,395006,Pasodara Patiya Road,Surat,Gujarat,395006,,"Patiya Road, Nr. La Season Restaurant & Banquet, Kamrej, Pasodara","Patiya Road, Nr. La Season Restaurant & Banquet, Kamrej, Pasodara"
New School,5107149,Stratton World School,2026,2025-12-17 00:00:00,"Ei CARES, Ei Mindspark",Regular,"IN-2022004149, IN-2022004150",Approved By Logistic Team,,#N/A,504938,520235,0,0,,419952,300,1400,84986,50,1700,0,Installments,4,,2025-12-17 00:00:00,"104988, 25071",2026-06-30 00:00:00,"104988, 25071",2026-09-30 00:00:00,"104988, 25071",2026-12-31 00:00:00,"104988, 25071",0,2026-01-19 00:00:00,2026-01-19 00:00:00,"104988, 25071",25000,"71, 79988","0.4429, 0.46159999999999995","0.4429, 0.46159999999999995",,,,,0,,"0, 4",MCQ,Printing By EI,OMR,Online,CBSE,Kashipur,Uttarakhand,North,UP/Uttarakhand,National Sales,2026-03-10 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000035835460, 22028000035835512",51788000302748002,zcrm_51788000279476991,2025-12-17 00:00:00,prabhjit.singh_ei,maruf.shaikh1,prabhjit.singh@ei.study,Prabhjit singh,Pooja Kapoor,Pooja Kapoor,"2026-01-28 12:55:31, 2026-01-28 12:55:52","Mr. Gurdayal Singh Saini, Ms. Harpreet Kaur",School Owner,Strattonworldschool@gmail.com,+919720601111,Strattonworldschool@gmail.com,Mrs. Harpreet Kaur,Strattonworldschool@gmail.com,+917351145000,Mrs. Harpreet Kaur,Strattonworldschool@gmail.com,+917351145000,0,"Ramnagar Rd, Garhi inderjit, Pratappur, Kashipur, Uttarakhand 244713",,244713,,Kashipur,Uttarakhand,244713,,"Ramnagar Road, Garhi Inderjit, Pratappur, Uttarakhand","Ramnagar Road, Garhi Inderjit, Pratappur, Uttarakhand"
New School,5107387,"Brainz Edu World School, Meerut",2026,2026-01-27 00:00:00,Ei Mindspark,Regular,IN-2022004266,Approved By Logistic Team,,#N/A,381543,450221,0,0,,0,0,,381543,350,1090,0,Installments,4,,2026-01-27 00:00:00,112555,2026-05-20 00:00:00,112555,2026-08-20 00:00:00,112555,2026-11-20 00:00:00,112555,0,2026-01-28 00:00:00,2026-01-28 00:00:00,112555,103016,9539,0.6426999999999999,0.6426999999999999,,,,,0,,0,MCQ,,,Online,CBSE,Meerut,Uttar Pradesh,North,UP/Uttarakhand,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000036747052,51788000303154092,zcrm_51788000276978309,2026-01-27 00:00:00,rajat.saxena_ei,fagun.saraiya_eiindia1,rajat.saxena@ei.study,Rajat saxena,Pooja Kapoor,Pooja Kapoor,2026-01-29 10:35:12,Mrs. Vibha Rajeev Goyal,School Owner,taarini@brainzeduworld.com,+919837001449,contact@brainzeduworld.com,Mrs. Vibha Rajeev Goyal,taarini@brainzeduworld.com,+919837001449,Mrs. Vibha Rajeev Goyal,taarini@brainzeduworld.com,+919837001449,0,"Brainz Edu World School, Kila Road, Meerut, Uttar Pradesh",,250001,,Meerut,Uttar Pradesh,250001,,"Brainz Edu World School, Kila Road, Meerut, Uttar Pradesh","Brainz Edu World School, Kila Road, Meerut, Uttar Pradesh"
New School,5109584,Pramiti School,2026,2026-02-23 00:00:00,Ei ASSET,Regular,IN-2022004404,Approved By Logistic Team,,#N/A,157500,157500,157500,105,1500,0,0,,0,0,,0,Full Payment,,2026-02-23 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,15750,2026-03-06 00:00:00,2026-03-06 00:00:00,157500,141750,0,0,,,,,,Summer Round,OMR,0,MCQ,,,,CIE - Cambridge,Bengaluru,Karnataka,South,Karnataka/Kerala,National Sales,2026-06-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037488312,51788000303383950,zcrm_51788000303383962,2026-02-23 00:00:00,garima.jain_ei,mitul.patel_ei1,garima.jain@ei.study,Garima jain,Garima Jain,,2026-03-07 12:20:45,Mr. Ravi S,School Owner,secretary@pramitischool.in,+919845126158,secretary@pramitischool.in,Mr. Ravi S,secretary@pramitischool.in,+919845126158,Mr. Ravi S,secretary@pramitischool.in,+919845126158,154000,Badamanavarathekaval,,560082,Badamanavarathekaval,Bengaluru,Karnataka,560082,BLRP19366E,Badamanavarathekaval,Badamanavarathekaval
New School,5110316,Red Rose Convent School,2026,2026-01-16 00:00:00,Ei Mindspark,Regular,"IN-2022004228, IN-2022004229",Approved By Logistic Team,,#N/A,604058,712788,0,0,,0,0,,604058,866,"0, 950",0,"Full Payment, Installments",4,2026-01-16 00:00:00,"2000-01-01 00:00:00, 2026-01-16 00:00:00","0, 178197","2000-01-01 00:00:00, 2026-06-30 00:00:00","0, 178197","2000-01-01 00:00:00, 2026-09-30 00:00:00","0, 178197","2000-01-01 00:00:00, 2026-12-31 00:00:00","0, 178197",0,2026-01-19 00:00:00,2026-01-19 00:00:00,"0, 178197","0, 50000","0, 128197","0.6887000000000001, 1","0.6887000000000001, 1",,,,,0,,0,MCQ,,,Online,CBSE,Gadarpur,Uttarakhand,North,UP/Uttarakhand,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000036433040, 22028000036433076",51788000303796021,"zcrm_51788000303953896, zcrm_51788000304732117",2026-01-16 00:00:00,prabhjit.singh_ei,fagun.saraiya_eiindia1,prabhjit.singh@ei.study,Prabhjit singh,Pooja Kapoor,Pooja Kapoor,"2026-01-28 13:04:47, 2026-01-28 13:04:59",Mr. Sandeep Singh,School Owner,rrcs193@yahoo.com,+919410169193,rrcs193@yahoo.com,Mr. Sandeep Singh,rrcs193@yahoo.com,+919410169193,Mr. Sandeep Singh,rrcs193@yahoo.com,+919410169193,51000,"Red Rose Road, Barakhera",,263152,"Red Rose Rd, Gadarpur, Uttarakhand 263152",Gadarpur,Uttarakhand,263152,,Barakhera,Barakhera
New School,5110972,Vissanji Academy,2026,2026-02-24 00:00:00,Ei ASSET,Regular,IN-2022004411,Approved By Logistic Team,,#N/A,540000,540000,540000,600,900,0,0,,0,0,,0,Installments,2,,2026-03-03 00:00:00,270000,2026-08-03 00:00:00,270000,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2026-03-06 00:00:00,2026-03-06 00:00:00,270000,100000,170000,0.4,0.4,,,,,Summer Round,OMR,0,MCQ,,,,ICSE,Mumbai,Maharashtra,West,Mumbai,National Sales,2026-03-16 00:00:00,2027-03-10 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037511208,51788000303644390,zcrm_51788000304937956,2026-02-24 00:00:00,shailaja.shah_ei,hakim.kanchwala_eiindia1,shailaja.shah@ei.study,Shailaja shah,Shailaja Shah,,2026-03-09 14:02:25,Kalpana Patange,Principal,principal@vissanjiacademy.com,+919833381075,info@vissanjiacademy.com,Mrs. Kalpana Patange,principal@vissanjiacademy.com,+912266992005,Greta Oommen,info@vissanjiacademy.com,+912266992003,52500,"Old Nagardas Road, Andheri East, Mumbai - 400069",,437996,"Old Nagardas Road, Andheri East, Mumbai - 400069",Mumbai,Maharashtra,437996,,"Old Nagardas Road, Andheri East, Mumbai - 400069","Old Nagardas Road, Andheri East, Mumbai - 400069"
New School,5111313,The Ultimate AI Quiz,2026,2026-01-09 00:00:00,Ei ASSET,Regular,IN-2022004210,Approved By Logistic Team,,#N/A,0,0,0,6000,0,0,0,,0,0,,0,Full Payment,,2026-01-09 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,0,0,0,1,1,,,,,Summer Round,Online,0,MCQ,,,,CBSE,Ahmedabad,Gujarat,West,Gujarat,National Sales,2026-01-01 00:00:00,2026-12-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000036297196,51788000304392007,zcrm_51788000304392095,2026-01-09 00:00:00,maruf.shaikh1,maruf.shaikh1,maruf.shaikh@ei.study,Maruf shaikh,Maruf Shaikh,,2026-01-09 12:20:34,Aditya Singhania,,aditya.singhania@ei.study,+918017712562,,Aditya,aditya.singhania@ei.study,+91918017712562,Aditya,aditya.singhania@ei.study,+91918017712562,0,Ahmedabad,,412115,,Ahmedabad,Gujarat,412115,,Ahmedabad,Ahmedabad
New School,5111427,"BAPS Swaminarayan Vidyamandir,Navsari",2026,2026-02-06 00:00:00,Ei ASSET,Regular,IN-2022004301,Approved By Logistic Team,,#N/A,79055,79055,79055,93,850,0,0,,0,0,,0,Installments,2,,2026-02-20 00:00:00,39528,2026-05-20 00:00:00,39528,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2026-02-16 00:00:00,2026-02-16 00:00:00,39528,39528,0,0.43329999999999996,0.43329999999999996,,,,,Summer Round,OMR,0,MCQ,,,,GSEB,Navsari,Gujarat,West,Gujarat,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037088040,51788000304353643,zcrm_51788000305681335,2026-02-06 00:00:00,devansh.desai_ei,fagun.saraiya_eiindia1,devansh.desai@ei.study,Devansh desai,Devansh desai,,2026-02-17 12:40:49,Dr.Ghanshyam Patel,Other,director.svmnvs@baps.edu.in,+919727799770,info.svmnvs@baps.edu.in,Samir Parekh,info.svmnvs@baps.edu.in,+919727799770,Samir Parekh,info.svmnvs@baps.edu.in,+919727799770,48000,Meera Nagar,,396427,Meera Nagar,Navsari,Gujarat,396427,,Jamalpore,Jamalpore
New School,5111929,St. Mary's School (English Medium),2026,2026-01-13 00:00:00,Ei Mindspark,Regular,IN-2022004219,Approved By Logistic Team,,#N/A,457650,540027,0,0,,0,0,,457650,225,2034,0,Installments,2,,2026-01-31 00:00:00,270014,2026-04-30 00:00:00,270014,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2026-01-22 00:00:00,2026-01-22 00:00:00,270014,270014,0,0.6,0.6,,,,,0,,0,MCQ,,,Online,ICSE,Buxar,Bihar,East,Bihar/Jharkhand,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000036371300,51788000304494517,zcrm_51788000280022058,2026-01-13 00:00:00,satvinder.singh_ei,mitul.patel_ei1,satvinder.singh@ei.study,Satvinder singh,Satvinder Singh,,2026-01-23 13:47:21,Fr. Dominic Amalan,Principal,do.amalan@gmail.com,+919204113205,do.amalan@gmail.com,Fr. Dominic Amalan,do.amalan@gmail.com,+919204113205,Fr. Dominic Amalan,do.amalan@gmail.com,+919204113205,2200,Naya Bazar,,802101,,Buxar,Bihar,802101,,Near Govt ITI,Near Govt ITI
New School,5112032,"Delhi Public School, Vikasnagar",2026,"2026-02-03 00:00:00, 2026-02-04 00:00:00","Ei ASSET, Ei CARES, Ei Mindspark",Regular,"IN-2022004287, IN-2022004288, IN-2022004290",Approved By Logistic Team,,#N/A,651440,700876,68040,84,810,308755,221,1397,274645,270,1017,0,"Full Payment, Installments",4,2026-02-04 00:00:00,"2000-01-01 00:00:00, 2026-02-04 00:00:00","0, 77189, 81020","2000-01-01 00:00:00, 2026-06-30 00:00:00","0, 77189, 81020","2000-01-01 00:00:00, 2026-09-30 00:00:00","0, 77189, 81020","2000-01-01 00:00:00, 2026-12-31 00:00:00","0, 77189, 81020",0,2026-02-05 00:00:00,2026-02-05 00:00:00,"68040, 77189, 81020","37236, 69469, 72918","30804, 7720, 8102","0.46, 0.5746, 0.6666","0.46, 0.5746, 0.6666",,,,,"0, Summer Round",OMR,"0, 4",MCQ,Printing By EI,OMR,Online,CBSE,Dehradun,Uttarakhand,North,UP/Uttarakhand,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,"22028000036982420, 22028000036982468, 22028000037005052",51788000304606021,"zcrm_51788000304550949, zcrm_51788000306020702, zcrm_51788000306060416","2026-02-03 00:00:00, 2026-02-04 00:00:00",prabhjit.singh_ei,fagun.saraiya_eiindia1,prabhjit.singh@ei.study,Prabhjit singh,Pooja Kapoor,Pooja Kapoor,"2026-02-06 14:59:24, 2026-02-06 15:01:08, 2026-02-06 15:01:39","Mr. Soneya Kumar, Mrs. Soneya Kumar, Soneya Kumar",Principal,principal@dpsvikasnagar.com,+919520876909,principal@dpsvikasnagar.com,"Mrs. Soneya Kumar, Ms. Soneya Kumar",principal@dpsvikasnagar.com,+919520876909,"Mrs. Soneya Kumar, Ms. Soneya Kumar",principal@dpsvikasnagar.com,+919520876909,77000,Vikasnagar,,248197,"Vill. Khushalpur, Opp. Radha Swami Satsang Bhawan Chakrata Road",Dehradun,Uttarakhand,248197,,"Vill. Khushalpur, Opp. Radha Swami Satsang Bhawan Chakrata Road","Vill. Khushalpur, Opp. Radha Swami Satsang Bhawan Chakrata Road"
New School,5128331,East Point School,2026,2026-03-11 00:00:00,Ei CARES,Regular,IN-2022004518,Approved By Logistic Team,,#N/A,230400,230400,0,0,,230400,320,720,0,0,,0,Installments,4,,2026-04-02 00:00:00,57600,2026-07-02 00:00:00,57600,2026-10-02 00:00:00,57600,2026-12-31 00:00:00,57600,0,2026-03-12 00:00:00,2026-03-12 00:00:00,0,0,0,0.6,0.6,,,,,0,,2,MCQ + Subjective,Printing By EI,OMR,,CBSE,"Nawabganj, Noapara",West Bengal,East,West Bengal,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037822704,51788000305875195,zcrm_51788000306780959,2026-03-11 00:00:00,nishu.rani_ei,mitul.patel_ei1,nishu.rani@ei.study,Nishu rani,Nishu Rani,,2026-03-13 12:13:41,Rahul Singh,School Owner,rahul365in@gmail.com,+919007967004,epsichhapur@gmail.com,Arindam Bose,rahul365in@gmail.com,+919007967004,Arindam Bose,rahul365in@gmail.com,+919007967004,24000,"2, Brick Field Road, Sreebhumi, Ichapur, P.O, Nawabganj, Noapara",,743144,"2, Brick Field Road, Sreebhumi, Ichapur",Ichapur,West Bengal,743144,,"2, Brick Field Road, Sreebhumi, Ichapur","2, Brick Field Road, Sreebhumi"
New School,5128949,Karnavati International School-CBSE,2026,2026-02-09 00:00:00,Ei ASSET,Regular,IN-2022004305,Approved By Logistic Team,,#N/A,111015,111015,111015,150,740,0,0,,0,0,,0,Full Payment,,2026-02-09 00:00:00,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,111015,0,111015,0.5065999999999999,0.5065999999999999,,,,,Summer Round,OMR,0,MCQ,,,,CBSE,Rajkot,Gujarat,West,Gujarat,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037116156,51788000306157420,zcrm_51788000306168379,2026-02-09 00:00:00,gaurav.muliya_ei,fagun.saraiya_eiindia1,gaurav.muliya@ei.study,Gaurav muliya,Gaurav Muliya,,2026-02-09 19:04:49,Beena Thakkar,Other,karnavatiinternationaIschoolcbse@yahoo.com,+919727415026,,Beena Thakkar,karnavatiinternationaIschoolcbse@yahoo.com,+919727415026,Beena Thakkar,karnavatiinternationalschoolcbse@yahoo.com,+919727415026,0,"Shop No.14, Sagar Apartment Street, 6, Kalavad Rd,",,360005,,Rajkot,Gujarat,360001,,Kalavad Road,"150 Feet Ring Road, Opp. ADB Hotel"
New School,5129696,Vasantiben and Chandubhai Patel English School,2026,2026-02-09 00:00:00,Ei CARES,Regular,IN-2022004314,Approved By Logistic Team,,#N/A,1080072,1080072,0,0,,1080072,720,1500,0,0,,0,Installments,2,,2026-04-20 00:00:00,540036,2026-11-20 00:00:00,540036,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,2026-02-25 00:00:00,2026-02-25 00:00:00,0,540036,-540036,0.5714,0.5714,,,,,0,,4,MCQ + Subjective,Printing By EI,OMR,,CBSE,Anand,Gujarat,West,Gujarat,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037095272,51788000304770288,zcrm_51788000304770300,2026-02-09 00:00:00,nakul.swamy_ei,fagun.saraiya_eiindia1,nakul.swamy@ei.study,Nakul swamy,Atufa Nagori,,2026-02-25 19:39:04,Salma Paleja,Principal,vandcpatelenglishschool@gmail.com,+919979137684,vandcpatelenglishschool@gmail.com,Salma Paleja,vandcpatelenglishschool@gmail.com,+919979137684,Salma Paleja,vandcpatelenglishschool@gmail.com,+919979137684,52000,"Anand - Vidyanagar Road,",,388120,"Anand - Vidyanagar Rd,",Anand,Gujarat,388120,,"Opposite Manish Creations, Ambawadi, Ketivadi, Vallabh Vidyanagar","Opposite Manish Creations, Ambawadi, Ketivadi, Vallabh Vidyanagar"
New School,5136172,Prayash Vidya Mandir - Jajpur,2026,2026-03-09 00:00:00,Ei Mindspark,Regular,IN-2022004494,Approved By Logistic Team,,#N/A,457742,540136,0,0,,0,0,,457742,450,1017,0,Installments,4,,2026-04-03 00:00:00,135034,2026-07-03 00:00:00,135034,2026-10-02 00:00:00,135034,2026-12-28 00:00:00,135034,0,2026-03-12 00:00:00,2026-03-12 00:00:00,0,0,0,0.6666,0.6666,,,,,0,,0,MCQ,,,Online,CBSE,Jajpur,Odisha,East,Odisha,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037751772,51788000307291001,zcrm_51788000308114967,2026-03-09 00:00:00,srikanta.rout_eiindia,mitul.patel_ei1,srikanta.rout@ei.study,Srikanta rout,Srikanta Kumar Rout,,2026-03-13 13:01:05,Mr. Abhay Kumar Rath,Principal,vidyamandirprayash@gmail.com,+919938442540,info@pvmodisha.in,Mr. Abhay Kumar Rath,vidyamandirprayash@gmail.com,+919938442540,Mr. Abhay Kumar Rath,vidyamandirprayash@gmail.com,+919938442540,3900,Tandara,,755015,Tandara,Jajpur,Odisha,755015,,Jajpur,Jajpur
1-year School,516721,Fravashi International Academy,2026,2026-01-27 00:00:00,Ei ASSET,Regular,IN-2022004268,Approved By Logistic Team,,294910,340137,340137,340137,420,810,0,0,,0,0,,0,Installments,2,,2026-04-01 00:00:00,170069,2026-10-01 00:00:00,170069,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,0,0,0,0.46009999999999995,0.46009999999999995,,,,,Summer Round,OMR,0,MCQ,,,,IGCSE,Nashik,Maharashtra,West,Rest of Maharashtra and Goa,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000036752152,51788000002738086,zcrm_51788000305519182,2026-01-27 00:00:00,shahista.shaikh_ei,hakim.kanchwala_eiindia1,shahista.shaikh@ei.study,Shahista shaikh,Shahista Shaikh,,2026-02-10 18:12:40,Manju Surendran,Principal,dir.academics@fia.edu.in,+919673999836,enquiry@fia.edu.in,Manju Surendran,dir.academics@fia.edu.in,+919673999836,Jasveer Kaur,jasveen.kaur@fia.edu.in,+919673999836,16000,"Gangapur - Dugaon Road, Dugaon, Village, Nashik, Maharashtra 422203",,422003,"Adjacent To Gangapur Dam Rest House, Gangapur-Dugaon Road, Dugoan Village,",Nashik,Maharashtra,422003,NSKR00418F,"Adjacent To Gangapur Dam Rest House, Gangapur-Dugaon Road, Dugoan Village,","Adjacent To Gangapur Dam Rest House, Gangapur-Dugaon Road, Dugoan Village,"
Retention School,5184,Sishu Griha Montessori And High School,2026,2026-03-02 00:00:00,"Ei ASSET,Ei CARES,Ei Mindspark",Regular,IN-2022004464,Approved By Logistic Team,,2218803,2365160,2536860,740942,660,1123,670327,262,2558,953891,611,1561,0,Installments,4,,2026-06-20 00:00:00,634215,2026-08-15 00:00:00,634215,2026-10-15 00:00:00,634215,2026-12-31 00:00:00,634215,0,,,0,0,0,0.48829999999999996,0.48829999999999996,,,,,Summer Round,OMR,8,MCQ,Printing By EI,OMR,Online,CISCE,Bengaluru,Karnataka,South,Karnataka/Kerala,National Sales,2026-06-01 00:00:00,2027-05-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037622292,51788000002728439,zcrm_51788000307508037,2026-03-02 00:00:00,aruna_ei,mitul.patel_ei1,aruna@ei.study,Aruna,Aruna,,2026-03-11 11:59:30,Ms. Sujatha Mohandas,Principal,sujatha.mohandas@sishugriha.in,+919880387469,sujatha.mohandas@sishugriha.in,Ms. Sujatha Mohandas,sujatha.mohandas@sishugriha.in,+918553486065,Ms. Geeta Viswanathan,geeta.viswanathan@sishugriha.in,+918553486065,0,"No.3, Hal Iii Stage, New Thippasandra,",,560075,,Bengaluru,Karnataka,560075,BLRY00043B,"No.3, Hal Iii Stage, New Thippasandra,","No.3, Hal Iii Stage, New Thippasandra,"
Retention School,529319,Saupin^s School,2026,2026-02-28 00:00:00,Ei ASSET,Regular,IN-2022004450,Approved By Logistic Team,,1124134,1009864,1009864,1009864,876,1153,0,0,,0,0,,0,Installments,2,,2026-04-10 00:00:00,302959,2026-07-20 00:00:00,706905,2000-01-01 00:00:00,0,2000-01-01 00:00:00,0,0,,,0,0,0,0.47369999999999995,0.3737,,0.05,,0.05,Summer Round,OMR,0,MCQ,,,,CBSE,Chandigarh,Chandigarh,North,Punjab/Chandigarh,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037574188,51788000002738293,zcrm_51788000307443290,2026-02-28 00:00:00,bhavishya.bansal1_ei,fagun.saraiya_eiindia1,bhavishya.bansal1@ei.study,Bhavishya bansal1,Bhavishya Bansal,,2026-03-13 15:15:10,Ms. Neena Tiwari,Other,saupinsc@gmail.com,+919915003808,saupinsc@gmail.com,Surita Sharma,surita04@gmail.com,+919815986323,Neena Tiwari,tiwarineena@gmail.com,+919915003808,0,Plot No. 14,,160030,,Chandigarh,Chandigarh,160030,PTLS10398D,"Plot No. 14, Sector 32A, 32A, Sector 32, Chandigarh, 160030","Plot No. 14, Sector 32A, 32A, Sector 32, Chandigarh, 160030"
Retention School,532393,St. Vivekanand Millennium School,2026,2026-02-18 00:00:00,"Ei ASSET,Ei CARES",Regular,IN-2022004365,Approved By Logistic Team,,932467,999095,999095,147892,225,657,851203,555,1534,0,0,,0,Installments,4,,2026-04-01 00:00:00,249774,2026-07-01 00:00:00,249774,2026-08-01 00:00:00,249774,2026-12-01 00:00:00,249774,0,,,0,0,0,0.5618,0.4618,,,0.05,0.05,Summer Round,OMR,4,MCQ + Subjective,Printing By EI,OMR,,CBSE,Pinjore,Haryana,North,Delhi/Haryana,National Sales,2026-04-01 00:00:00,2027-03-31 00:00:00,Regular School: Active school with student count and rate per student defined,22028000037347480,51788000002738319,zcrm_51788000306991145,2026-02-18 00:00:00,tanya.brooks_ei,fagun.saraiya_eiindia1,tanya.brooks@ei.study,Tanya brooks,Tanya Marina Brooks,,2026-02-26 09:22:59,Mr. Piyush Punj,School Owner,reach@vivekanandpnj.com,+919034020390,svmshmt@gmail.com,Piyush Punj,svmshmt@gmail.com,+919876620397,Piyush Punj,svmshmt@gmail.com,+919876620397,57000,HMT Township,,134101,St. vivekanand millennium School,Pinjore,Haryana,134101,PTLS13483B,"Zirakpur-Panchkula-Kalka Hwy, HMT Twp, Pinjore, Haryana 134101","Zirakpur-Panchkula-Kalka Hwy, HMT Twp, Pinjore, Haryana 134101"
